A,AAL,AAP,AAPL,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AET,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANSS,AON,AOS,APA,APD,APH,ARE,AVB,AVY,AXP,AYI,AZO,BA,BAC,BAX,BBY,BDX
23.29341125,12.55731487,33.21157074,5.883143425,18.31229782,26.66109467,41.70999908,20.16403008,29.99001694,25.15989876,48.24000168,27.3975811,23.9330616,14.76693249,51.23830795,20.58605385,716.3897705,1.61592412,47.32286835,14.43069839,33.20000076,32.20493317,16.46999931,5.31688261,33.99098969,13.14740276,7.139999866,18.40494728,108.7738876,33.26327133,38.71936798,31.7184124,4.8125,40.36999893,38.58045578,4.329535007,85.88451385,59.01736069,4.892550945,60.37968063,49.95638657,34.97066116,39.22180939,39.84838486,116.2099991,63.48161697,29.97551155,22.81154251,31.52365303,64.15803528
23.062397,11.99167156,33.52961349,5.885860443,18.200737,26.20269775,41.79000092,19.85861206,30.30143166,24.97362328,47.84000015,27.37703133,24.00542831,14.73195648,51.75395584,20.84847832,718.2984619,1.580743551,47.17881393,14.23602104,34.13999939,31.83378029,16.54999924,5.215715885,33.91125107,12.91330338,6.769999981,18.56874657,107.0113373,32.61371994,38.31472778,31.11849594,4.760499954,40.25,38.28137207,4.229502201,86.1025238,59.55508804,4.863771915,58.15251923,48.03141403,34.48403168,38.73767471,39.39813614,113.7200012,63.7454567,29.78334808,23.13522339,30.30506516,65.20043945
22.31162453,11.69941998,31.51520729,5.436562538,18.30572701,25.81084442,40.36000061,19.3407402,30.38093758,23.8675518,45.70000076,27.17675209,23.92788696,14.78791714,50.63220596,20.71560478,703.6654663,1.540808916,46.64580917,14.13868237,32,31.304636,16.5,5.152767181,33.94448471,12.66409874,6.25,18.04939651,103.0698395,31.97842979,37.42871475,30.28786278,4.439499855,38.58000183,37.77462769,4.04996109,83.61107635,58.91955566,4.75086689,56.27116013,45.94782639,33.58410263,37.76174164,37.84020233,110.5800018,62.89532852,29.45077324,22.77206993,29.30187416,64.88256836
22.67738724,11.52972889,32.93766403,5.363794327,18.86681175,25.11584663,40.24000168,19.09507942,30.38756561,24.38565826,46.72000122,27.53110313,24.62571526,15.38251495,52.39623642,21.05776024,716.3897705,1.545087934,46.41531372,14.27860451,31.60000038,31.39152527,16.13999939,5.352851868,33.97105408,12.63389206,6.079999924,17.98547935,102.4694138,32.39958191,37.35198212,30.1109581,4.440999985,38,37.58354568,4.078176022,82.24080658,59.07844925,4.743118763,56.10115814,47.55015945,33.92406845,37.93080521,37.71413803,112.6500015,60.73334503,29.48772812,23.52601051,29.09203911,66.79740143
22.64528847,10.37958336,31.24131393,5.1708498,19.36226845,25.11584663,39.22000122,18.4643364,29.83097076,24.16445351,44.81999969,27.37703133,24.61021042,15.31955528,52.77618027,21.15742683,706.8461914,1.460939765,45.79586029,14.26643658,29.46999931,30.4912529,15.34000015,4.959425926,33.55904007,12.33182526,6,17.20645332,98.16960907,33.07055664,36.06132889,29.22647476,4.394000053,37.52000046,36.97710037,4.183336735,80.3021698,57.64242935,4.577080727,54.22566223,46.30328751,32.66416931,36.8473053,34.64335632,108.3799973,58.56402969,28.38656616,24.04706001,28.16631889,65.56271362
22.70305443,10.26645184,30.77305222,5.416937351,19.70022964,24.99755096,39.45999908,18.20538902,29.94361877,24.2052002,44.38999939,27.34622765,24.91002464,15.04674625,52.83045959,21.77531052,718.6803589,1.5151366,47.31566238,14.4550457,29.21999931,29.53566551,15.93000031,4.990900993,34.03087616,12.56592464,5.53000021,17.12255859,100.5034943,34.01279068,35.82411957,29.61103439,4.261000156,37.83000183,37.50879288,4.205136299,83.83686066,57.83795166,4.468603134,55.39785767,47.31497574,32.76416016,37.71564484,38.00231934,107.9400024,58.84986496,28.6304512,25.32993317,28.65386772,67.32233429
23.7233429,11.83140659,29.70397949,5.375268936,19.72320366,24.84967232,39.25,18.36474419,29.5394249,24.35073471,44.65999985,26.93539047,24.93069649,15.17965126,53.54511261,21.6889286,735.6034546,1.56457901,47.98554611,14.5827961,28.03000069,30.04109573,15.26000023,5.303393841,34.42294693,12.38468266,5.960000038,17.03866386,103.6218338,33.94853592,37.66591644,30.24939728,4.212999821,36.54999924,37.80784607,4.191030979,82.56000519,56.24917603,4.505130768,57.02720642,47.50094986,33.08414459,37.59269714,39.74033356,109.7099991,60.35958481,29.04431534,24.88782692,28.74026489,66.18373108
23.10089493,11.20919704,28.31685638,5.214330673,19.95907974,24.24341011,38.04999924,17.60783958,28.91655922,23.9141407,43.18000031,26.6323967,24.79113197,14.76693249,52.83949661,21.68561172,733.9494629,1.582169414,48.07918167,14.38811302,27.52000046,29.49617958,14.77000046,5.190985203,34.21694565,12.38468266,6.25,16.74702454,98.54725647,33.99135971,37.37988281,30.01867294,4.053999901,35.75,37.52539444,4.101257324,81.68801117,55.22869492,4.330238342,57.26751328,48.04779816,32.33086777,33.81190872,38.85782242,106.0899963,59.01108551,28.45309067,25.14835167,27.27764893,67.43321991
23.51157951,11.35060787,28.19317055,5.398215771,19.77104378,24.78313065,38.47999954,18.05932426,29.91047668,23.40186119,44.31999969,26.49887848,24.91519356,14.82289314,52.32386017,21.48297501,754.8178711,1.571710706,49.19562149,14.47329044,28.37999916,29.80416489,14.69999981,5.211220264,34.68877411,12.71696091,6.409999847,16.73504639,98.80875397,34.21263504,39.12400055,30.74163246,4.143499851,36.27999878,37.36754608,4.203856468,84.52202606,57.36136627,4.510665417,57.41404724,46.91030884,32.83082962,34.19613647,40.30767441,107.0299988,59.85388565,28.98518944,25.12861443,27.62940407,67.71411133
23.09448433,11.79369545,27.56587219,5.104120255,19.68526268,24.76835251,37.91999817,17.56800461,29.81772041,23.343647,42.65000153,26.19075394,24.78596687,14.31224442,50.90358734,21.14413834,736.2399292,1.534628272,49.00834274,14.13868237,26.95000076,29.23557663,13.96000004,5.337115765,34.00428391,12.80002975,6.119999886,16.53130531,93.86009216,33.82006073,37.26826096,30.0417366,4.012000084,35.56999969,36.60326004,4.128189564,81.47777557,55.5403595,4.403295517,55.22202301,45.69080734,32.23088455,32.86670685,39.37112045,104.0699997,57.06163788,27.99487686,25.02993965,27.21592712,67.49976349
