A,AAL,AAP,AAPL,ABT,ACN,ADBE,ADI,ADM,ADP
23.29341125,12.55731487,33.21157074,5.883143425,18.31229782,26.66109467,41.70999908,20.16403008,29.99001694,25.15989876
23.062397,11.99167156,33.52961349,5.885860443,18.200737,26.20269775,41.79000092,19.85861206,30.30143166,24.97362328
22.31162453,11.69941998,31.51520729,5.436562538,18.30572701,25.81084442,40.36000061,19.3407402,30.38093758,23.8675518
22.67738724,11.52972889,32.93766403,5.363794327,18.86681175,25.11584663,40.24000168,19.09507942,30.38756561,24.38565826
22.64528847,10.37958336,31.24131393,5.1708498,19.36226845,25.11584663,39.22000122,18.4643364,29.83097076,24.16445351
22.70305443,10.26645184,30.77305222,5.416937351,19.70022964,24.99755096,39.45999908,18.20538902,29.94361877,24.2052002
23.7233429,11.83140659,29.70397949,5.375268936,19.72320366,24.84967232,39.25,18.36474419,29.5394249,24.35073471
23.10089493,11.20919704,28.31685638,5.214330673,19.95907974,24.24341011,38.04999924,17.60783958,28.91655922,23.9141407
23.51157951,11.35060787,28.19317055,5.398215771,19.77104378,24.78313065,38.47999954,18.05932426,29.91047668,23.40186119
23.09448433,11.79369545,27.56587219,5.104120255,19.68526268,24.76835251,37.91999817,17.56800461,29.81772041,23.343647
22.88914108,11.82197857,28.21084023,4.820287704,19.95907974,25.16759872,37.70000076,18.25187111,28.07504654,23.1981144
22.68380737,11.79369545,27.66305351,4.858032227,19.71165848,24.70180702,35.54999924,17.90661621,27.27327538,22.90122604
21.59934235,12.18022346,28.11365128,4.872224808,19.60608864,24.96797562,35.33000183,18.28506851,27.10099792,23.02347374
21.07315254,11.33175278,28.4758873,4.699509621,18.96607971,24.62047386,34,18.04604721,26.63054657,22.73822021
21.45175552,12.38762283,29.68631172,4.199182987,19.1244278,24.45042992,34.34999847,18.58384323,27.067873,22.9827137
21.56084251,11.93510628,30.41963768,4.094406605,18.82422066,25.04930305,34.63999939,19.2013073,28.00878525,22.56357956
21.29774284,11.58629417,29.35058403,3.925617695,18.30297661,25.0345192,34.84000015,18.40457344,27.90275955,22.55776787
21.50950623,12.5667448,30.16342354,3.925617695,18.61968231,25.08626747,35.15000153,18.63031769,28.69128227,23.00018311
21.48383141,12.3499136,30.94975853,3.971817255,18.5569973,25.53728676,35.54000092,18.72327614,28.45271492,23.00599289
21.93301773,12.6138773,30.7907238,3.991140842,18.45802498,25.15281487,35.93999863,18.59047699,28.48587036,22.96526337
21.72767639,13.04754353,31.6123867,4.087161064,18.53390121,25.5964241,34.93000031,18.82950401,29.14183807,23.62306404
